Ticker,sector,recommendationKey,targetMeanPrice,targetMedianPrice,targetHighPrice,targetLowPrice,fiftyDayAverage,twoHundredDayAverage,forwardPE,trailingPE,enterpriseToEbitda,returnOnAssets,returnOnEquity,grossMargins,ebitdaMargins,profitMargins,date
AAPL,Technology,buy,251.8335,254.5,325.0,197.0,240.2278,219.98755,28.149328,37.01113,27.07,0.21464,1.5741299,0.46206,0.34437,0.23971,2025-02-04
MSFT,Technology,strong_buy,506.6573,500.0,650.0,420.0,431.2586,425.70755,27.40253,33.228848,24.218,0.14592,0.35604,0.69348997,0.53720003,0.35608003,2025-02-04
GOOGL,Communication Services,buy,216.36867,220.0,240.0,151.0,187.834,173.99644,20.139133,27.3351,19.432,0.16483,0.32101002,0.58127,0.36330003,0.27738002,2025-02-04
AMZN,Consumer Cyclical,strong_buy,249.69365,250.0,306.0,200.0,222.5958,194.6683,39.009155,51.722225,23.442,0.07069,0.22558,0.48406,0.17994,0.080419995,2025-02-04
META,Communication Services,buy,745.12585,767.5,900.0,505.0,612.8086,541.6358,24.298325,29.525785,21.285,0.17188999,0.36134,0.81501,0.50701,0.35549998,2025-02-04
BRK.B,,,,,,,,,,,,,,,,,2025-02-04
JNJ,Healthcare,buy,168.64,166.0,190.0,150.0,148.2932,153.7832,13.80564,26.5095,12.383,0.08403,0.20889,0.69391,0.34268,0.16744,2025-02-04
JPM,Financial Services,buy,265.5481,273.0,330.0,180.51,248.1034,218.7385,13.697293,13.573455,,0.013259999,0.16216,,,0.33163,2025-02-04
V,Financial Services,buy,366.33945,381.5,400.0,289.0,317.739,286.4596,27.106665,34.758305,25.928,0.16174,0.50708,0.97833997,0.69512004,0.54955,2025-02-04
PG,Consumer Defensive,buy,178.47,180.5,209.0,143.0,168.7094,168.08714,22.834753,26.772293,16.886,0.10601,0.28766,0.51756,0.28651,0.17063,2025-02-04
TSLA,Consumer Cyclical,hold,326.08902,300.0,550.0,135.0,399.087,263.24536,101.276115,193.2069,92.793,0.04759,0.20389,0.18229,0.13633001,0.13075,2025-02-04
NVDA,Technology,strong_buy,173.7837,175.0,220.0,130.0,136.8152,122.63693,26.68205,46.897236,58.085,0.55258,1.23767,0.75975996,0.6353,0.55041003,2025-02-04
UNH,Healthcare,strong_buy,637.24036,641.0,700.0,590.0,541.455,545.33826,16.259123,35.167633,15.724,0.06924,0.15252,0.22872,0.08894,0.03635,2025-02-04
HD,Consumer Cyclical,buy,430.6377,440.0,500.0,292.0,408.579,376.10724,26.129732,27.954483,18.969,0.15313,4.04933,0.33495,0.16014999,0.0945,2025-02-04
DIS,Communication Services,buy,124.56071,125.0,147.0,63.0,112.6048,101.5232,18.585958,41.65441,14.595,0.03622,0.0546,0.35358003,0.18606001,0.053049996,2025-02-04
MA,Financial Services,buy,605.9727,620.0,670.0,465.0,528.2044,485.316,29.814747,40.31074,30.429,0.22886999,1.7757801,1.0,0.61647,0.45262,2025-02-04
BAC,Financial Services,buy,52.42857,53.0,59.0,39.5,45.896,41.6124,10.760591,14.551401,,0.0072899996,0.08092,,,0.24952,2025-02-04
XOM,Energy,buy,129.28615,129.0,147.0,105.0,111.1456,115.31055,12.518157,14.02551,7.059,0.07083,0.14513999,0.31535,0.20807,0.09802,2025-02-04
VZ,Communication Services,buy,47.66043,47.0,55.0,40.79,40.7662,41.19615,8.163575,9.615943,7.013,0.04982,0.10431,0.60094,0.36077,0.07298,2025-02-04
PFE,Healthcare,buy,31.12955,30.5,42.0,25.0,26.1606,27.881,8.514854,34.493336,11.257,0.033069998,0.04538,0.69778997,0.30932,0.071609996,2025-02-04
ADBE,Technology,buy,573.3423,590.0,660.0,425.0,465.9386,502.47195,19.085295,35.58852,29.585,0.15969,0.35355,0.88657,0.38831002,0.25588,2025-02-04
CMCSA,Communication Services,buy,43.22036,44.0,55.0,35.0,38.87,39.65025,7.0703917,8.103865,6.337,0.05365,0.16884,0.69728,0.30297002,0.11924,2025-02-04
NFLX,Communication Services,buy,1063.7195,1100.0,1494.0,700.0,906.5608,732.33826,32.8021,50.068947,38.192,0.1184,0.34714,0.45251,0.26543,0.20701,2025-02-04
KO,Consumer Defensive,buy,71.7132,72.0,85.0,59.6,62.7,65.2753,21.246012,26.004148,20.266,0.08438,0.3723,0.60433996,0.31987,0.2245,2025-02-04
PEP,Consumer Defensive,buy,172.43864,173.5,195.0,148.0,153.632,167.1677,15.78402,21.163717,14.384,0.08717,0.48819,0.54883,0.184,0.1018,2025-02-04
CSCO,Technology,buy,63.57875,65.0,78.0,50.0,59.3198,52.1583,15.549269,26.326181,18.765,0.06278,0.20761,0.64919996,0.25959,0.17731,2025-02-04
T,Communication Services,buy,26.69577,28.0,32.0,15.49,22.9682,20.4215,10.8066435,16.275167,7.582,0.04033,0.08759,0.59907,0.35042998,0.07419,2025-02-04
MRK,Healthcare,buy,123.25708,121.16,150.0,100.0,99.6782,114.29735,8.900397,18.983263,12.039,0.10531,0.28332,0.76595,0.36293,0.19229001,2025-02-04
ABT,Healthcare,buy,133.07957,135.0,158.0,109.0,116.8264,111.31775,22.758844,16.897907,19.405,0.06488,0.14840001,0.55907,0.26263002,0.13992,2025-02-04
CVX,Energy,buy,176.49565,176.0,197.0,156.0,153.8512,153.4124,11.995484,15.763374,7.778,0.053740002,0.103520006,0.39169,0.20316,0.087019995,2025-02-04
INTC,Technology,hold,22.44441,21.605,31.0,18.0,21.0016,25.3117,16.218126,,11.283,-0.00263,-0.15597,0.40069,0.19243,-0.29423,2025-02-04
WMT,Consumer Defensive,buy,100.45605,100.0,115.0,58.0,92.942,77.3561,36.49963,41.64049,18.062,0.069510005,0.18531999,0.24628,0.06132,0.02339,2025-02-04
CRM,Technology,buy,395.8913,411.5,442.0,247.0,338.7804,285.5354,30.64372,56.695225,33.858,0.04705,0.09734,0.7635,0.25627002,0.15445,2025-02-04
ABBV,Healthcare,buy,204.89555,210.0,239.0,165.0,176.2282,179.04906,13.711662,79.14583,14.611,0.077199996,0.56407,0.70335,0.46153,0.09222999,2025-02-04
MCD,Consumer Cyclical,buy,321.0713,320.0,360.0,280.0,291.203,281.088,23.16253,25.41842,18.77,0.13629,,0.56616,0.53378,0.3179,2025-02-04
NKE,Consumer Cyclical,buy,86.86324,89.5,120.0,50.0,75.6524,81.76265,30.993725,23.679012,16.192,0.106479995,0.3798,0.44965,0.14399,0.10599,2025-02-04
LLY,Healthcare,buy,972.5692,997.0,1190.0,580.0,782.119,840.68335,36.40831,88.634125,45.672,0.13946,0.65318,0.80906,0.40541,0.20482999,2025-02-04
TMO,Healthcare,buy,662.35583,665.0,767.0,585.2,540.7384,570.6836,22.461767,35.16475,23.278,0.04674,0.12944001,0.40683997,0.24975,0.14479999,2025-02-04
COST,Consumer Defensive,buy,1018.35315,1059.0,1175.0,560.0,956.0406,876.3646,51.11631,60.10941,37.904,0.0836,0.30267,0.12613,0.04528,0.02895,2025-02-04
ACN,Technology,buy,398.86667,404.34,455.0,323.0,360.1678,335.1995,28.102549,32.798996,19.628,0.11627,0.26674998,0.32609,0.17052001,0.111940004,2025-02-04
DHR,Healthcare,buy,268.884,265.0,310.0,240.0,234.882,253.13545,24.856705,40.64461,23.672,0.03858,0.07586,0.59873,0.31636,0.16393,2025-02-04
MDT,Healthcare,buy,94.96154,95.0,112.0,82.0,84.6196,84.5463,15.619099,27.819572,14.709,0.04415,0.07948,0.65525,0.27667,0.12055001,2025-02-04
TXN,Technology,hold,206.04552,200.0,284.0,130.0,191.9494,196.21375,24.974274,34.789978,27.377,0.10236,0.29293,0.58628,0.43899,0.31601998,2025-02-04
NEE,Utilities,buy,84.82429,85.2,103.0,58.0,72.7886,75.77005,17.511642,20.74184,15.939,0.030469999,0.09887999,0.62109,0.55544,0.26492,2025-02-04
LIN,Basic Materials,buy,491.78693,504.5,540.0,381.0,436.558,448.38846,27.043339,34.533028,18.662,0.06832,0.1619,0.47755,0.38095,0.19328,2025-02-04
AMGN,Healthcare,buy,315.8523,313.5,405.0,195.0,273.0494,304.527,13.557632,36.911877,16.881,0.04597,0.5572,0.60589004,0.37644002,0.13002,2025-02-04
HON,Industrials,buy,244.7213,240.0,300.0,196.12,226.016,211.772,20.486902,25.843931,18.223,0.07332,0.31865,0.37598,0.24211,0.15015,2025-02-04
UNP,Industrials,buy,261.47214,265.0,290.0,200.0,235.8878,237.8469,18.130861,21.976534,14.521,0.089940004,0.43396,0.55319,0.49530998,0.27326,2025-02-04
AVGO,Technology,strong_buy,243.02342,250.0,300.0,171.6,208.9394,170.42184,29.164146,173.77344,4.514,0.077010006,0.12509,0.74713,0.49040002,0.108830005,2025-02-04
ORCL,Technology,buy,195.36156,202.5,227.0,130.0,173.6546,152.35095,23.883429,40.94878,27.601,0.072909996,1.55578,0.71310997,0.40515,0.20396,2025-02-04
LOW,Consumer Cyclical,buy,282.23883,294.0,316.0,216.0,259.6118,247.4336,20.605352,21.38238,15.291,0.14649999,,0.33209,0.14797,0.08248,2025-02-04
PM,Consumer Defensive,buy,136.93071,143.515,150.0,102.0,125.885,115.9409,18.633879,20.696825,16.321,0.13116,,0.64075,0.41111,0.26417,2025-02-04
IBM,Technology,hold,248.70721,263.15,300.0,160.0,226.864,201.4499,23.366692,41.25741,17.573,0.047270004,0.26729,0.56534,0.23452,0.10222,2025-02-04
BMY,Healthcare,hold,61.72,63.0,73.0,39.0,57.73,49.9914,8.546847,,8.522,0.060739998,-0.3133,0.75874,0.40396,-0.15301,2025-02-04
BA,Industrials,buy,193.67583,200.0,250.0,103.0,167.6392,168.6936,41.67898,,-38.956,-0.02665,,0.03618,-0.05445,-0.10880999,2025-02-04
QCOM,Technology,buy,202.6071,199.0,270.0,160.0,160.9352,175.4198,14.2048435,19.355705,16.254,0.12069,0.42253,0.56214,0.30694,0.2603,2025-02-04
SBUX,Consumer Cyclical,buy,105.941,108.5,125.0,76.0,96.9238,89.0936,30.18979,35.67742,20.311,0.10503,,0.26838,0.1852,0.10396,2025-02-04
RTX,Industrials,buy,142.005,142.0,159.0,120.0,119.523,114.50785,18.781876,36.16056,16.328,0.03165,0.073460005,0.19305,0.15904,0.05969,2025-02-04
INTU,Technology,buy,725.31793,750.0,800.0,530.0,632.4352,630.6295,26.801098,57.616352,,0.08039,0.16597,0.79619,0.27608,0.18195,2025-02-04
GE,Industrials,strong_buy,225.06589,230.0,261.0,190.0,178.3104,172.0089,31.520048,33.25329,23.457,0.03017,0.22552,0.23028,0.12773,0.08926,2025-02-04
