Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
LW,77.69,Call,32.5,2024-12-20,51,43.3,45.25,47.2,45.6,25865,100,258.65,132.63%,0.976213,2024-10-31
MSFT,406.35,Call,412.5,2024-11-01,1,1,1.07,1.14,1.11,17760,172,103.26,38.64%,0.233539,2024-10-31
SMCI,29.11,Call,28,2024-11-01,1,1.6,1.7,1.8,1.8,9137,105,87.02,194.51%,0.667904,2024-10-31
MSFT,406.35,Call,390,2025-02-21,114,36.1,36.45,36.8,36.5,13086,161,81.28,27.91%,0.661271,2024-10-31
META,567.58,Put,565,2024-11-22,23,17.95,18.3,18.65,18.1,8531,124,68.8,35.36%,-0.452179,2024-10-31
SHEL,67.55,Call,68,2024-11-01,1,0.1,0.13,0.15,0.13,8954,131,68.35,21.40%,0.279202,2024-10-31
COIN,179.25,Call,232.5,2024-11-08,9,0.55,0.69,0.82,0.85,8079,119,67.89,100.70%,0.059578,2024-10-31
HOOD,23.49,Call,26,2024-11-08,9,0.31,0.34,0.37,0.36,16255,279,58.26,78.80%,0.226909,2024-10-31
SMCI,29.11,Call,30.5,2024-11-01,1,0.4,0.45,0.5,0.48,10016,179,55.96,165.23%,0.310421,2024-10-31
WSC,33.14,Call,40,2025-03-21,141,1.7,2.18,2.65,1.9,21050,387,54.39,48.08%,0.337278,2024-10-31
BALL,59.25,Put,57.5,2024-11-15,16,0.6,0.68,0.75,0.45,8947,178,50.26,28.83%,-0.291491,2024-10-31
SMCI,29.11,Call,29,2024-11-01,1,1.05,1.13,1.2,1.15,13298,288,46.17,180.10%,0.535341,2024-10-31
CRI,54.7,Put,70,2024-11-15,16,15.1,15.3,15.5,15.43,4450,100,44.5,66.91%,-0.953634,2024-10-31
UBER,72.05,Call,74,2024-11-01,1,0.1,0.15,0.2,0.17,6405,144,44.48,51.66%,0.166212,2024-10-31
RUN,14.45,Call,22,2024-12-20,51,0.51,0.55,0.6,0.55,8966,207,43.31,107.15%,0.202592,2024-10-31
CRH,95.43,Put,85,2024-11-08,9,0.3,0.38,0.45,0.3,8111,200,40.56,54.21%,-0.078906,2024-10-31
COIN,179.25,Call,235,2024-11-08,9,0.47,0.6,0.72,0.69,11559,297,38.92,104.05%,0.058383,2024-10-31
RDDT,119.3,Call,120,2024-11-01,1,2.25,2.39,2.53,2.4,7880,203,38.82,109.23%,0.471522,2024-10-31
WEN,19.11,Put,18,2024-12-20,51,0.35,0.4,0.45,0.35,27484,724,37.96,28.34%,-0.26763,2024-10-31
ALK,47.91,Call,52.5,2024-11-15,16,0.05,0.2,0.35,0.39,5293,145,36.5,35.50%,0.118126,2024-10-31
STLA,13.62,Put,13,2025-01-17,79,0.55,0.6,0.65,0.55,5007,142,35.26,35.42%,-0.339156,2024-10-31
COIN,179.25,Call,210,2024-11-08,9,2.31,2.44,2.56,2.56,21799,639,34.11,100.43%,0.179389,2024-10-31
UBER,72.05,Call,73,2024-11-01,1,0.4,0.41,0.42,0.41,6203,183,33.9,52.37%,0.322986,2024-10-31
SMCI,29.11,Call,31.5,2024-11-01,1,0.2,0.23,0.25,0.23,4287,127,33.76,158.48%,0.181867,2024-10-31
HOOD,23.49,Put,30,2025-02-21,114,7.45,7.53,7.6,7.38,3503,104,33.68,61.55%,-0.705464,2024-10-31
MO,54.46,Call,55,2024-11-01,1,0.17,0.2,0.22,0.18,6535,205,31.88,34.43%,0.293922,2024-10-31
MSFT,406.35,Call,422.5,2024-11-08,9,0.54,1.29,2.04,2,3688,116,31.79,28.26%,0.202242,2024-10-31
AMD,144.07,Call,147,2024-11-01,1,0.55,0.59,0.62,0.57,14311,451,31.73,53.57%,0.242171,2024-10-31
ROOT,68.39,Put,40,2024-11-15,16,0.5,0.55,0.6,0.5,3535,124,28.51,168.23%,-0.044148,2024-10-31
RBLX,51.72,Call,52,2024-11-01,1,0.48,0.53,0.59,0.55,9430,337,27.98,62.60%,0.442601,2024-10-31
SYF,55.14,Call,60,2025-03-21,141,3.2,3.35,3.5,3.4,3749,138,27.17,37.15%,0.416902,2024-10-31
ROKU,64.08,Call,62,2024-11-08,9,3.2,3.28,3.35,3.3,2739,103,26.59,51.84%,0.677514,2024-10-31
HOOD,23.49,Call,24.5,2024-11-01,1,0.09,0.1,0.1,0.11,6457,246,26.25,83.76%,0.174805,2024-10-31
KSS,18.48,Call,19,2024-11-15,16,0.74,0.76,0.77,0.77,12292,470,26.15,65.72%,0.439948,2024-10-31
SMR,19.14,Call,25,2024-11-08,9,0.45,0.5,0.55,0.5,3533,136,25.98,171.55%,0.19697,2024-10-31
MSFT,406.35,Call,412.5,2024-11-08,9,4.85,4.95,5.05,5.05,2816,112,25.14,29.55%,0.390136,2024-10-31
